Time;II;Pleth
hh:mm:ss.000';mV';mV'
'00:53:13.257';-83;-11.98
'00:53:13.307';-88;4.31
'00:53:13.307';-106;15.87
'00:53:13.340';-139;12.71
'00:53:13.340';-167;8.43
'00:53:13.373';-184;4.39
'00:53:13.373';-187;2.8
'00:53:13.424';-183;2.49
'00:53:13.424';-170;2.05
'00:53:13.457';-157;2.04
'00:53:13.457';-142;2.84
'00:53:13.491';-128;3.98
'00:53:13.491';-114;5.24
'00:53:13.541';-102;5.99
'00:53:13.541';-93;6.51
'00:53:13.574';-89;6.86
'00:53:13.574';-87;7.11
'00:53:13.608';-89;8.05
'00:53:13.641';-93;11.6
'00:53:13.641';-94;13.21
'00:53:13.674';-97;9.69
'00:53:13.674';-97;5.29
'00:53:13.708';-96;2.4
'00:53:13.757';-93;0.52
'00:53:13.757';-92;-16.84
'00:53:13.757';-89;88.33
'00:53:13.804';-87;107.31
'00:53:13.804';-86;-3.61
'00:53:13.855';-85;-48.23
'00:53:13.855';-84;-45.51
'00:53:13.855';-85;-40.49
'00:53:13.889';-85;-34.67
'00:53:13.923';-84;-28.06
'00:53:13.923';-84;-20.99
'00:53:13.957';-85;-9.33
'00:53:13.957';-93;6.69
'00:53:13.991';-116;13.81
'00:53:13.991';-149;9.84
'00:53:14.041';-174;3.97
'00:53:14.041';-185;0.35
'00:53:14.074';-186;-0.75
'00:53:14.074';-177;-0.84
'00:53:14.124';-163;-0.89
'00:53:14.124';-149;-0.48
'00:53:14.157';-134;0.65
'00:53:14.157';-120;1.94
'00:53:14.191';-110;3.57
'00:53:14.191';-102;5.22
'00:53:14.224';-95;6.1
'00:53:14.258';-93;6.65
'00:53:14.258';-92;7.25
'00:53:14.307';-94;7.67
'00:53:14.307';-96;8.84
'00:53:14.341';-99;12.67
'00:53:14.341';-100;13.96
'00:53:14.392';-102;10.9
'00:53:14.392';-100;7.41
'00:53:14.392';-98;5.53
'00:53:14.441';-96;4.19
'00:53:14.441';-93;-11.17
'00:53:14.490';-92;76.99
'00:53:14.490';-91;102.32
'00:53:14.490';-88;-7.16
'00:53:14.541';-87;-43.87
'00:53:14.541';-86;-40.69
'00:53:14.574';-85;-36.6
'00:53:14.574';-84;-31.46
'00:53:14.624';-84;-25.73
'00:53:14.624';-83;-18.63
'00:53:14.658';-84;-6.16
'00:53:14.658';-90;8.72
'00:53:14.707';-116;13.68
'00:53:14.707';-152;10.61
'00:53:14.741';-180;4.83
'00:53:14.741';-192;-0.18
'00:53:14.790';-191;-2.1
'00:53:14.790';-183;-2.06
'00:53:14.790';-167;-1.75
'00:53:14.825';-151;-1.08
'00:53:14.857';-135;0.84
'00:53:14.857';-121;3.29
'00:53:14.906';-108;6.01
'00:53:14.906';-97;7.55
'00:53:14.939';-92;8.41
'00:53:14.939';-90;8.59
'00:53:14.974';-92;8.93
'00:53:14.974';-94;10.03
'00:53:15.007';-98;13.97
'00:53:15.041';-100;17.11
'00:53:15.041';-103;12.93
'00:53:15.090';-103;7.52
'00:53:15.090';-101;3.77
'00:53:15.124';-98;1.54
'00:53:15.124';-94;-8.87
'00:53:15.158';-92;38.39
'00:53:15.158';-89;118.87
'00:53:15.205';-86;-11.35
'00:53:15.205';-83;-46.48
'00:53:15.205';-82;-38.74
'00:53:15.238';-82;-33.37
'00:53:15.272';-81;-27.29
'00:53:15.272';-81;-20.73
'00:53:15.306';-80;-14.9
'00:53:15.340';-81;-5.42
'00:53:15.340';-85;8.55
'00:53:15.374';-101;18.84
'00:53:15.374';-135;17.68
'00:53:15.407';-166;12.7
'00:53:15.407';-183;8.04
'00:53:15.456';-186;5.59
'00:53:15.456';-181;4.07
'00:53:15.490';-167;3.32
'00:53:15.490';-153;4.14
'00:53:15.524';-136;4.94
'00:53:15.574';-123;6.01
'00:53:15.574';-113;7.36
'00:53:15.574';-102;8.7
'00:53:15.608';-95;9.98
'00:53:15.640';-91;10.58
'00:53:15.640';-91;10.69
'00:53:15.674';-93;10.54
'00:53:15.674';-97;10.82
'00:53:15.707';-100;12.97
'00:53:15.707';-104;14.39
'00:53:15.741';-104;11.3
'00:53:15.790';-102;7.03
'00:53:15.790';-100;3.45
'00:53:15.790';-96;1.02
'00:53:15.824';-93;-14.48
'00:53:15.858';-89;77.85
'00:53:15.858';-88;117.95
'00:53:15.907';-88;-17.47
'00:53:15.907';-87;-52.56
'00:53:15.907';-87;-48.02
'00:53:15.940';-86;-41.85
'00:53:15.990';-86;-34.91
'00:53:15.990';-86;-29.99
'00:53:15.990';-87;-24.37
'00:53:16.024';-88;-14.35
'00:53:16.058';-95;0.34
'00:53:16.058';-118;10.9
'00:53:16.108';-151;9.06
'00:53:16.108';-176;4.09
'00:53:16.108';-188;-0.33
'00:53:16.156';-188;-2.1
'00:53:16.156';-179;-2.46
'00:53:16.188';-166;-2.02
'00:53:16.188';-153;-0.98
'00:53:16.222';-140;0.34
'00:53:16.257';-128;2.23
'00:53:16.257';-118;4.08
'00:53:16.307';-108;6.07
'00:53:16.307';-97;7.79
'00:53:16.340';-92;8.55
'00:53:16.340';-91;8.68
'00:53:16.374';-93;8.52
'00:53:16.374';-95;9.62
'00:53:16.407';-97;13.27
'00:53:16.407';-100;14.67
'00:53:16.441';-99;11.04
'00:53:16.490';-96;6.48
'00:53:16.490';-93;3.47
'00:53:16.490';-92;1.1
'00:53:16.524';-88;-20.63
'00:53:16.571';-84;120.26
'00:53:16.571';-82;96.6
'00:53:16.571';-81;-15.16
'00:53:16.622';-78;-51
'00:53:16.622';-77;-46.91
'00:53:16.669';-78;-42
'00:53:16.669';-76;-36.39
'00:53:16.669';-77;-29.46
'00:53:16.705';-78;-21
'00:53:16.705';-79;-8.77
'00:53:16.739';-90;6.53
'00:53:16.791';-115;15.07
'00:53:16.791';-149;11.39
'00:53:16.791';-174;5.77
'00:53:16.824';-188;2.29
'00:53:16.874';-186;1.23
'00:53:16.874';-175;0.79
'00:53:16.874';-161;0.56
'00:53:16.924';-147;1.38
'00:53:16.924';-131;2.5
'00:53:16.956';-118;3.68
'00:53:16.956';-105;4.86
'00:53:17.007';-95;5.75
'00:53:17.007';-88;6.9
'00:53:17.007';-85;7.49
'00:53:17.041';-84;7.62
'00:53:17.073';-86;8.32
'00:53:17.073';-90;11.54
'00:53:17.124';-93;15.21
'00:53:17.124';-94;11.78
'00:53:17.174';-94;7.99
'00:53:17.174';-92;4.41
'00:53:17.174';-88;2.44
'00:53:17.224';-84;-8.3
'00:53:17.224';-81;4.96
'00:53:17.257';-79;118.07
'00:53:17.257';-77;3.57
'00:53:17.291';-76;-45.99
'00:53:17.291';-77;-45.14
'00:53:17.340';-77;-40.71
'00:53:17.340';-77;-35.08
'00:53:17.374';-78;-27.88
'00:53:17.374';-76;-20.23
'00:53:17.422';-75;-9.86
'00:53:17.422';-80;4.84
'00:53:17.457';-96;14.41
'00:53:17.457';-127;11.68
'00:53:17.491';-160;6.16
'00:53:17.491';-178;1.53
'00:53:17.524';-181;-0.7
'00:53:17.557';-175;-0.41
'00:53:17.557';-161;-0.59
'00:53:17.607';-148;-0.45
'00:53:17.607';-131;0.89
'00:53:17.607';-118;2.69
'00:53:17.655';-109;4.6
'00:53:17.655';-97;5.73
'00:53:17.702';-90;6.42
'00:53:17.702';-86;7.13
'00:53:17.749';-86;7.61
'00:53:17.749';-88;9.1
'00:53:17.749';-92;13.49
'00:53:17.796';-96;14.96
'00:53:17.796';-99;11.37
'00:53:17.843';-100;8.7
'00:53:17.843';-98;6.39
'00:53:17.889';-96;2.73
'00:53:17.889';-92;-21.25
'00:53:17.889';-91;154.76
'00:53:17.936';-87;75.33
'00:53:17.936';-85;-39.13
'00:53:17.983';-82;-48.26
'00:53:17.983';-81;-42.91
'00:53:17.983';-81;-36.46
'00:53:18.030';-81;-29.7
'00:53:18.030';-81;-23.82
'00:53:18.076';-80;-15.94
'00:53:18.076';-81;-2.31
'00:53:18.123';-93;11.73
'00:53:18.123';-121;15.28
'00:53:18.123';-158;11.08
'00:53:18.172';-182;5.75
'00:53:18.172';-193;2.86
'00:53:18.205';-192;1.59
'00:53:18.205';-181;1.02
'00:53:18.240';-167;1.6
'00:53:18.274';-151;2.23
'00:53:18.274';-135;3.15
'00:53:18.307';-123;5.39
'00:53:18.307';-110;7.19
'00:53:18.357';-100;8.13
'00:53:18.357';-94;8.39
'00:53:18.391';-90;8.3
'00:53:18.391';-90;9.05
'00:53:18.439';-93;12.75
'00:53:18.439';-96;14.32
'00:53:18.473';-100;11.1
'00:53:18.473';-101;6.66
'00:53:18.507';-101;3.61
'00:53:18.507';-99;1.62
'00:53:18.541';-96;-18.76
'00:53:18.590';-92;126.93
'00:53:18.590';-88;95.08
'00:53:18.590';-86;-23.29
'00:53:18.624';-84;-51.75
'00:53:18.658';-84;-46.41
'00:53:18.658';-81;-41.05
'00:53:18.707';-81;-35.77
'00:53:18.707';-79;-31.27
'00:53:18.707';-76;-25.25
'00:53:18.740';-79;-13.63
'00:53:18.774';-89;1.82
'00:53:18.774';-117;11.53
'00:53:18.807';-154;10.58
'00:53:18.807';-182;6.57
'00:53:18.857';-194;2.71
'00:53:18.857';-194;1.02
'00:53:18.891';-186;1.01
'00:53:18.891';-172;1.57
'00:53:18.939';-156;1.92
'00:53:18.939';-138;2.83
'00:53:18.990';-125;4.06
'00:53:18.990';-114;5.64
'00:53:18.990';-101;6.64
'00:53:19.024';-94;7.31
'00:53:19.024';-90;7.49
'00:53:19.057';-88;8.25
'00:53:19.107';-90;11.38
'00:53:19.107';-94;13.7
'00:53:19.107';-96;10.5
'00:53:19.141';-99;5.81
'00:53:19.190';-100;2.16
'00:53:19.190';-98;-0.18
'00:53:19.190';-96;-13.97
'00:53:19.224';-92;43.71
'00:53:19.271';-89;137.39
'00:53:19.271';-87;-15.1
'00:53:19.271';-85;-51.73
'00:53:19.306';-82;-47.02
'00:53:19.306';-79;-40.81
'00:53:19.340';-78;-34.95
'00:53:19.388';-77;-29.14
'00:53:19.388';-76;-21.7
'00:53:19.388';-74;-10.12
'00:53:19.440';-84;5.13
'00:53:19.440';-108;13.24
'00:53:19.490';-144;11.9
'00:53:19.490';-174;7.29
'00:53:19.490';-190;3.4
'00:53:19.524';-192;1.83
'00:53:19.524';-185;1.13
'00:53:19.557';-171;0.78
'00:53:19.591';-154;0.84
'00:53:19.591';-138;1.7
'00:53:19.640';-123;3.14
'00:53:19.640';-109;3.91
'00:53:19.690';-96;4.97
'00:53:19.690';-89;5.24
'00:53:19.690';-84;5.42
'00:53:19.740';-84;5.73
'00:53:19.740';-85;8
'00:53:19.740';-89;11.51
'00:53:19.773';-93;9.35
'00:53:19.823';-94;6.2
'00:53:19.823';-93;2.84
'00:53:19.823';-91;0.77
'00:53:19.857';-88;-6.51
'00:53:19.907';-86;-22.59
'00:53:19.907';-84;156.94
'00:53:19.907';-81;31.72
'00:53:19.955';-79;-47.15
'00:53:19.955';-77;-47.91
'00:53:19.989';-76;-43.51
'00:53:19.989';-78;-37.95
'00:53:20.023';-77;-31.35
'00:53:20.023';-77;-24.16
'00:53:20.057';-77;-14.04
'00:53:20.107';-81;0.03
'00:53:20.107';-99;10.71
'00:53:20.107';-133;11.53
'00:53:20.157';-168;6.72
'00:53:20.157';-192;1.64
'00:53:20.192';-198;-0.65
'00:53:20.192';-193;-1.64
'00:53:20.240';-179;-1.08
'00:53:20.240';-161;-0.2
'00:53:20.240';-145;1.21
'00:53:20.290';-130;3.19
'00:53:20.290';-116;5.1
'00:53:20.323';-105;6.78
'00:53:20.323';-96;8.2
'00:53:20.357';-89;8.79
'00:53:20.391';-87;10.23
'00:53:20.391';-90;14.01
'00:53:20.440';-95;18.04
'00:53:20.440';-100;14.01
'00:53:20.473';-102;9.41
'00:53:20.473';-103;4.9
'00:53:20.507';-100;2.54
'00:53:20.507';-97;-6.88
'00:53:20.557';-93;4.58
'00:53:20.557';-89;119.35
'00:53:20.591';-85;3.56
'00:53:20.591';-80;-47.88
'00:53:20.640';-78;-43.69
'00:53:20.640';-78;-37.69
'00:53:20.673';-76;-30.87
'00:53:20.673';-77;-24.9
'00:53:20.708';-76;-19.08
'00:53:20.708';-76;-9.54
'00:53:20.757';-82;4.51
'00:53:20.757';-101;14.17
'00:53:20.790';-137;13.45
'00:53:20.790';-173;9.17
'00:53:20.840';-195;4.99
'00:53:20.840';-201;3.13
'00:53:20.890';-194;2.29
'00:53:20.890';-180;1.22
'00:53:20.890';-164;1.16
'00:53:20.938';-146;2.06
'00:53:20.938';-129;3.27
'00:53:20.972';-115;5.35
'00:53:20.972';-102;6.85
'00:53:21.007';-91;7.86
'00:53:21.007';-85;8.2
'00:53:21.040';-83;9.89
'00:53:21.040';-87;14.93
'00:53:21.089';-92;16.29
'00:53:21.089';-98;11.41
'00:53:21.139';-102;6.15
'00:53:21.139';-103;3.09
'00:53:21.139';-101;-0.51
'00:53:21.173';-97;-25.71
'00:53:21.207';-93;171.51
'00:53:21.207';-89;68.05
'00:53:21.257';-83;-49.59
'00:53:21.257';-81;-56.46
'00:53:21.290';-78;-51.24
'00:53:21.290';-77;-43.65
'00:53:21.340';-75;-37.09
'00:53:21.340';-74;-30.99
'00:53:21.340';-73;-22.41
'00:53:21.373';-78;-9.94
'00:53:21.407';-93;2.95
'00:53:21.407';-123;7.6
'00:53:21.447';-162;5.17
'00:53:21.447';-187;0.3
'00:53:21.489';-200;-1.76
'00:53:21.489';-199;-2.27
'00:53:21.523';-189;-2.18
