Time;Pleth;II
hh:mm:ss.000';mv';mV'
'20:56:19.740';-77;3.17
'20:56:19.740';-70;2.08
'20:56:19.778';-65;1.51
'20:56:19.826';-62;1.14
'20:56:19.826';-58;-5.31
'20:56:19.826';-57;16.19
'20:56:19.860';-57;94.16
'20:56:19.894';-56;49.27
'20:56:19.894';-59;2.66
'20:56:19.928';-60;-25.83
'20:56:19.928';-61;-29.11
'20:56:19.961';-63;-26.94
'20:56:19.961';-64;-22.27
'20:56:19.996';-65;-14.6
'20:56:20.029';-64;-3.75
'20:56:20.029';-73;6.65
'20:56:20.077';-113;9.99
'20:56:20.077';-185;5.1
'20:56:20.113';-239;-1.87
'20:56:20.113';-264;-7.38
'20:56:20.146';-265;-8.75
'20:56:20.146';-254;-8.45
'20:56:20.195';-235;-7.12
'20:56:20.195';-212;-4.97
'20:56:20.231';-187;-2.94
'20:56:20.231';-164;0.21
'20:56:20.279';-147;3.33
'20:56:20.279';-131;4.86
'20:56:20.312';-118;5.63
'20:56:20.312';-107;6.05
'20:56:20.347';-95;6.04
'20:56:20.347';-84;6.03
'20:56:20.380';-77;6.02
'20:56:20.428';-77;6.17
'20:56:20.428';-79;6.56
'20:56:20.428';-83;6.78
'20:56:20.478';-86;7.25
'20:56:20.478';-86;8.03
'20:56:20.512';-85;9.96
'20:56:20.512';-81;10.53
'20:56:20.559';-77;8.89
'20:56:20.559';-72;8.04
'20:56:20.606';-67;6.93
'20:56:20.606';-63;6.12
'20:56:20.606';-60;5.56
'20:56:20.652';-57;5.18
'20:56:20.652';-55;0.1
'20:56:20.698';-54;5.11
'20:56:20.698';-54;71.24
'20:56:20.735';-54;57.01
'20:56:20.735';-57;15.88
'20:56:20.782';-58;-21.27
'20:56:20.782';-59;-30.88
'20:56:20.782';-60;-27.76
'20:56:20.828';-62;-23.48
'20:56:20.828';-62;-17.04
'20:56:20.874';-61;-6.97
'20:56:20.874';-66;1.49
'20:56:20.922';-95;5.94
'20:56:20.922';-165;4.95
'20:56:20.922';-225;0.06
'20:56:20.968';-258;-6.94
'20:56:20.968';-265;-10.74
'20:56:21.014';-257;-12.3
'20:56:21.014';-236;-11.41
'20:56:21.062';-212;-10.31
'20:56:21.062';-189;-9.31
'20:56:21.062';-167;-7.78
'20:56:21.111';-148;-5.41
'20:56:21.111';-132;-2.8
'20:56:21.144';-121;0.92
'20:56:21.144';-109;3.53
'20:56:21.178';-96;4.95
'20:56:21.178';-85;5.32
'20:56:21.212';-79;5.51
'20:56:21.250';-78;5.62
'20:56:21.250';-82;5.7
'20:56:21.296';-89;6.09
'20:56:21.296';-93;6.41
'20:56:21.329';-94;7.53
'20:56:21.329';-92;8.51
'20:56:21.363';-88;7.67
'20:56:21.363';-83;6.03
'20:56:21.412';-78;4.57
'20:56:21.412';-72;3.18
'20:56:21.447';-67;1.59
'20:56:21.447';-65;1.08
'20:56:21.496';-62;-2.98
'20:56:21.496';-60;-8.63
'20:56:21.544';-60;68.92
'20:56:21.544';-60;75.23
'20:56:21.544';-60;35.24
'20:56:21.579';-62;-14.25
'20:56:21.579';-64;-28.53
'20:56:21.628';-66;-27.47
'20:56:21.628';-66;-24.59
'20:56:21.662';-67;-18.42
'20:56:21.662';-67;-8.01
'20:56:21.696';-72;2.94
'20:56:21.731';-96;9.91
'20:56:21.731';-160;9.96
'20:56:21.778';-221;5.96
'20:56:21.778';-254;-0.53
'20:56:21.818';-264;-4.93
'20:56:21.818';-255;-5.94
'20:56:21.862';-238;-4.11
'20:56:21.862';-217;-1.93
'20:56:21.862';-194;0.97
'20:56:21.910';-174;3.75
'20:56:21.910';-155;5.86
'20:56:21.943';-142;7.06
'20:56:21.943';-129;7.7
'20:56:21.993';-117;8.07
'20:56:21.993';-105;8.3
'20:56:22.028';-94;8.45
'20:56:22.028';-87;8.55
'20:56:22.062';-87;8.3
'20:56:22.062';-89;8.09
'20:56:22.096';-93;8.08
'20:56:22.145';-96;8.2
'20:56:22.145';-96;8.81
'20:56:22.145';-94;10.41
'20:56:22.195';-89;11.76
'20:56:22.195';-83;10.46
'20:56:22.229';-78;9.47
'20:56:22.229';-73;8.5
'20:56:22.278';-68;7.54
'20:56:22.278';-65;6.59
'20:56:22.313';-63;5.9
'20:56:22.313';-62;-1.88
'20:56:22.346';-61;20.38
'20:56:22.346';-60;102.1
'20:56:22.395';-60;48.07
'20:56:22.395';-61;0.54
'20:56:22.429';-63;-24.53
'20:56:22.429';-63;-27.98
'20:56:22.464';-63;-26.93
'20:56:22.464';-61;-23.86
'20:56:22.513';-59;-17.77
'20:56:22.513';-60;-6.28
'20:56:22.546';-70;4.49
'20:56:22.546';-111;7.96
'20:56:22.595';-181;5.01
'20:56:22.595';-231;-2.05
'20:56:22.629';-254;-9.5
