Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:24:08.400';-138;-31.49
'00:24:08.400';-152;-39.11
'00:24:08.400';-160;-36.73
'00:24:08.400';-166;-32.81
'00:24:08.500';-168;-26.04
'00:24:08.500';-165;-23.36
'00:24:08.500';-158;-22.76
'00:24:08.500';-147;-22.17
'00:24:08.500';-133;-21.27
'00:24:08.600';-122;-21.47
'00:24:08.600';-112;-21.81
'00:24:08.600';-103;-22.27
'00:24:08.600';-93;-23.42
'00:24:08.600';-87;-23.8
'00:24:08.700';-83;-24.28
'00:24:08.700';-78;-24.01
'00:24:08.700';-73;-23.24
'00:24:08.700';-69;-20.23
'00:24:08.800';-66;-16.76
'00:24:08.800';-64;-11.57
'00:24:08.800';-62;-6.49
'00:24:08.800';-59;-3.26
'00:24:08.800';-55;-2.24
'00:24:08.800';-52;-5
'00:24:08.900';-49;-8.1
'00:24:08.900';-48;-12.58
'00:24:08.900';-47;-15.54
'00:24:08.900';-46;-15.74
'00:24:08.900';-46;-14.58
'00:24:08.900';-45;-13.21
'00:24:09.000';-44;-8.89
'00:24:09.000';-43;-2.58
'00:24:09.000';-43;4.9
'00:24:09.000';-43;13.33
'00:24:09.000';-44;16.05
'00:24:09.100';-44;16.49
'00:24:09.100';-45;43.84
'00:24:09.100';-45;62.82
'00:24:09.100';-44;4.85
'00:24:09.100';-45;-33.17
'00:24:09.200';-44;-21.5
'00:24:09.200';-45;-16.51
'00:24:09.200';-45;-12.47
'00:24:09.200';-46;-9.33
'00:24:09.200';-47;-1.63
'00:24:09.300';-49;6.94
'00:24:09.300';-57;8.73
'00:24:09.300';-76;12.31
'00:24:09.300';-95;18.35
'00:24:09.400';-116;27.89
'00:24:09.400';-136;33.9
'00:24:09.400';-154;31.23
'00:24:09.400';-167;26.2
'00:24:09.400';-179;17.33
'00:24:09.500';-186;8.46
'00:24:09.500';-191;-0.14
'00:24:09.500';-193;-5.98
'00:24:09.500';-192;-8.15
'00:24:09.500';-190;-3.78
'00:24:09.500';-184;5.88
'00:24:09.600';-175;13.02
'00:24:09.600';-165;11.88
'00:24:09.600';-158;10.31
'00:24:09.600';-150;9.48
'00:24:09.700';-142;5.96
'00:24:09.700';-135;1.6
'00:24:09.700';-128;-0.03
'00:24:09.700';-122;2.27
'00:24:09.700';-115;7.87
'00:24:09.800';-109;17.62
'00:24:09.800';-105;24.37
'00:24:09.800';-102;20.81
'00:24:09.800';-98;17.55
'00:24:09.800';-94;15.97
'00:24:09.800';-91;15.98
'00:24:09.900';-87;18.18
'00:24:09.900';-83;19.77
'00:24:09.900';-79;16.23
'00:24:09.900';-75;8.83
'00:24:10.000';-73;-0.16
'00:24:10.000';-69;-6.54
'00:24:10.000';-66;-11.2
'00:24:10.000';-64;-9.59
'00:24:10.000';-63;-8.15
'00:24:10.100';-61;-4.93
'00:24:10.100';-59;-2.95
'00:24:10.100';-59;5.67
'00:24:10.100';-58;61.15
'00:24:10.100';-57;30.09
'00:24:10.100';-57;-52.24
'00:24:10.200';-56;-62.83
'00:24:10.200';-56;-64.27
'00:24:10.200';-53;-61.02
'00:24:10.200';-52;-51
'00:24:10.300';-52;-26.23
'00:24:10.300';-52;0.34
'00:24:10.300';-53;11.68
'00:24:10.300';-59;15.17
'00:24:10.300';-71;16.09
'00:24:10.400';-88;16.8
'00:24:10.400';-102;19.63
'00:24:10.400';-116;23.85
'00:24:10.400';-127;25.24
'00:24:10.400';-135;24.78
'00:24:10.500';-142;22.8
'00:24:10.500';-147;19.9
'00:24:10.500';-150;12.67
'00:24:10.500';-152;6.02
'00:24:10.500';-153;5.47
'00:24:10.500';-154;6.42
'00:24:10.600';-152;7.56
'00:24:10.600';-148;8.3
'00:24:10.600';-141;6.85
'00:24:10.600';-137;6.01
'00:24:10.700';-131;6.83
'00:24:10.700';-128;7.66
'00:24:10.700';-123;9.04
'00:24:10.700';-120;13.27
'00:24:10.700';-115;19.78
'00:24:10.700';-112;19.89
'00:24:10.800';-109;16.83
'00:24:10.800';-107;11.37
'00:24:10.800';-106;6.34
'00:24:10.800';-102;-5.25
'00:24:10.800';-99;20.47
'00:24:10.900';-95;49.82
'00:24:10.900';-92;7.46
'00:24:10.900';-89;-72.98
'00:24:10.900';-87;-64.91
'00:24:11.000';-85;-58.66
'00:24:11.000';-84;-51.06
'00:24:11.000';-82;-44.77
'00:24:11.000';-80;-36.18
'00:24:11.000';-79;-27.9
'00:24:11.000';-76;-20.35
'00:24:11.100';-78;-14.42
'00:24:11.100';-86;-7.2
'00:24:11.100';-98;6.3
'00:24:11.100';-109;21.19
'00:24:11.200';-119;27.88
'00:24:11.200';-128;25.65
'00:24:11.200';-134;23.59
'00:24:11.200';-140;19.42
'00:24:11.200';-144;15.2
'00:24:11.200';-145;16.04
'00:24:11.300';-145;14.61
'00:24:11.300';-145;12.74
'00:24:11.300';-142;11.47
'00:24:11.300';-141;9.72
'00:24:11.300';-135;6.51
'00:24:11.400';-131;7.1
'00:24:11.400';-129;5.19
'00:24:11.400';-124;0.45
'00:24:11.400';-121;-3.33
'00:24:11.500';-118;-0.47
'00:24:11.500';-114;2.28
'00:24:11.500';-111;4.22
'00:24:11.500';-106;5.27
'00:24:11.500';-103;3.56
'00:24:11.500';-100;2.04
'00:24:11.600';-98;2.36
'00:24:11.600';-96;3.84
'00:24:11.600';-94;5.93
'00:24:11.600';-91;9.29
'00:24:11.600';-90;15.59
'00:24:11.700';-88;20.87
'00:24:11.700';-86;23.48
'00:24:11.700';-85;25.45
'00:24:11.700';-85;24.89
'00:24:11.800';-84;20.32
'00:24:11.800';-84;13.25
'00:24:11.800';-83;8.32
'00:24:11.800';-81;44.1
'00:24:11.800';-81;54.46
'00:24:11.800';-81;14
'00:24:11.900';-81;-34.64
'00:24:11.900';-81;-16.24
'00:24:11.900';-80;-4.4
'00:24:11.900';-78;1.12
'00:24:11.900';-77;4.88
'00:24:12.000';-77;10.7
'00:24:12.000';-76;18.58
'00:24:12.000';-78;22.21
'00:24:12.000';-83;22.59
'00:24:12.000';-94;22.39
'00:24:12.100';-105;22.55
'00:24:12.100';-115;20.01
'00:24:12.100';-121;12.61
'00:24:12.100';-127;-6.76
'00:24:12.200';-132;-33.21
'00:24:12.200';-135;-42.29
'00:24:12.200';-140;-38.98
'00:24:12.200';-142;-36.05
'00:24:12.200';-143;-35.15
'00:24:12.200';-140;-33.72
'00:24:12.300';-137;-31.51
'00:24:12.300';-134;-27.78
'00:24:12.300';-131;-21.14
'00:24:12.300';-129;-15.34
'00:24:12.300';-126;-6.78
'00:24:12.400';-124;-2.85
'00:24:12.400';-122;-3.91
'00:24:12.400';-119;-6.19
'00:24:12.400';-116;-7.25
'00:24:12.400';-113;-3.27
'00:24:12.500';-112;5.24
'00:24:12.500';-111;12.94
'00:24:12.500';-109;25.53
'00:24:12.500';-107;84.68
'00:24:12.500';-105;55.45
'00:24:12.600';-104;-7.41
'00:24:12.600';-101;-36.84
'00:24:12.600';-98;-27.46
'00:24:12.600';-95;-21.46
'00:24:12.600';-92;-16.79
'00:24:12.700';-92;-5.79
'00:24:12.700';-91;5.79
'00:24:12.700';-90;9.76
'00:24:12.700';-89;10.39
'00:24:12.800';-93;10.98
'00:24:12.800';-102;12.77
'00:24:12.800';-114;15.42
'00:24:12.800';-123;22.67
'00:24:12.800';-129;34.87
'00:24:12.900';-133;34.95
'00:24:12.900';-137;30.27
'00:24:12.900';-138;24.6
'00:24:12.900';-139;20.74
'00:24:12.900';-141;17.56
'00:24:13.000';-142;12.02
'00:24:13.000';-142;8.52
'00:24:13.000';-141;11.04
'00:24:13.000';-138;11.44
'00:24:13.000';-134;10.99
'00:24:13.000';-127;10.73
'00:24:13.100';-122;11.69
'00:24:13.100';-121;36.52
'00:24:13.100';-119;27.36
'00:24:13.100';-118;-5.22
'00:24:13.100';-115;-16.97
'00:24:13.200';-112;-9.69
'00:24:13.200';-109;-9.29
'00:24:13.200';-106;-6.11
'00:24:13.200';-105;-2.77
'00:24:13.300';-101;1.84
'00:24:13.300';-97;4.73
'00:24:13.300';-96;3.55
'00:24:13.300';-98;0.16
'00:24:13.300';-104;-1.54
'00:24:13.300';-113;-2.08
'00:24:13.400';-121;-1.17
'00:24:13.400';-127;-3.07
'00:24:13.400';-132;-4.33
'00:24:13.400';-134;-2.69
'00:24:13.400';-136;0.1
'00:24:13.500';-135;2.69
'00:24:13.500';-135;3.2
'00:24:13.500';-133;2.83
'00:24:13.500';-127;2.62
'00:24:13.500';-122;2.27
'00:24:13.600';-117;1.41
'00:24:13.600';-111;0.43
'00:24:13.600';-110;-1.86
'00:24:13.600';-106;-5.43
'00:24:13.600';-104;-9.3
'00:24:13.700';-103;-13.58
'00:24:13.700';-103;-16.57
'00:24:13.700';-101;-9.39
'00:24:13.700';-101;14.36
'00:24:13.700';-99;32.7
'00:24:13.800';-96;35.08
'00:24:13.800';-95;32.1
'00:24:13.800';-93;26.77
'00:24:13.800';-92;20.97
